OBJECTID,* Damage,* Street Number,* Street Name,"* Street Type (e.g. road, drive, lane, etc.)",* City,State,Zip Code,* CAL FIRE Unit,County,Community,Incident Start Date,Hazard Type,Structure Defense Actions Taken,* Structure Type,Structure Category,# Units in Structure (if multi unit),* Roof Construction,* Eaves,* Vent Screen,* Exterior Siding,* Window Pane,* Deck/Porch On Grade,* Deck/Porch Elevated,* Patio Cover/Carport Attached to Structure,* Fence Attached to Structure,Distance - Propane Tank to Structure,Distance - Residence to Utility/Misc Structure &gt; 120 SQFT,Assessed Improved Value (parcel),Year Built (parcel),Site Address (parcel),Latitude,Longitude
100940,No Damage,7930.0,Balcom Canyon,Road,Somis,CA,93066.0,VNC,Ventura,,11/6/2024 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,0.0,Metal,No Eaves,No Vents,Metal,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,,315273.0,0.0,"7930 BALCOM CANYON RD, SOMIS, CA 93066",34.3152005,-118.9686451
39223,Destroyed (>50%),9289.0,Skyway ,Road,Magalia,CA,,BTU,Butte,Paradise ,11/8/2018 12:00:00 AM,Fire,Unknown,Mobile Home Double Wide,Single Residence,,Metal,Unknown,"Mesh Screen <= 1/8""""",Combustible,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,<30',1875459.0,1963.0,9289  SKYWAY     MAGALIA CA 95954,39.8016980452254,-121.581117708614
47641,Destroyed (>50%),5850.0,Nielsen ,Drive,Paradise Southeast A,CA,,BTU,Butte,Paradise ,11/8/2018 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Asphalt,Unknown,"Mesh Screen <= 1/8""""",Ignition Resistant,Multi Pane,No Deck/Porch,No Deck/Porch,Combustible,Non Combustible,,,140692.0,1976.0,5850  NIELSEN DR   PARADISE CA 95969,39.7590247043781,-121.58739470912
21218,No Damage,0.0,,,,CA,,CZU,Santa Cruz,,8/16/2020 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,581791.0,2002.0,343 PINERIDGE RD BONNY DOON CA 95060,37.0432435483289,-122.114369466029
63277,Destroyed (>50%),3480.0,Porter Creek ,Road,Unincorporated,CA,0.0,LNU,Sonoma,Riebli,10/8/2017 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Fire Resistant,Unknown,No Vents,Combustible,Unknown, , , ,,,,465000.0,,3480 PORTER CREEK RD SANTA ROSA CA 95404,38.5574427697139,-122.68974201978
49753,Destroyed (>50%),30051.0,Andromeda ,Road,Malibu,CA,,LAC,Los Angeles,Zuma Beach ,11/8/2018 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Asphalt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Non Combustible,,,171576.0,1975.0,30051 ANDROMEDA LN MALIBU CA 90265,34.0354436860989,-118.828694635022
114720,Destroyed (>50%),2568.0,Page,Drive,Altadena,CA,91001.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Single Family Residence Single Story,Single Residence,,Asphalt,Unknown,Unknown,Stucco Brick Cement,Unknown,No Deck/Porch,Masonry/Concrete,Unknown,Combustible,,<30',387825.0,1946.0,"2568 PAGE DR, ALTADENA, CA 91001",34.1896898,-118.1198005
72731,Destroyed (>50%),5109.0,Floral ,Drive,Unincorporated,CA,0.0,VNC,Ventura,,12/4/2017 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Fire Resistant,Enclosed,Unknown,Fire Resistant,Multi Pane, , , ,,,,143820.0,1958.0,5109 FLORAL DR VENTURA CA 93001,34.3373442410416,-119.28869612654
26360,No Damage,226.0,Milky Way,,,CA,,ORC,Orange,Irvine ,10/26/2020 12:00:00 AM,Fire,Unknown,Single Family Residence Multi Story,Single Residence,,Tile,No Eaves,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,,,,,,33.698008327636,-117.701945209506
105947,No Damage,226.0,W Montana,Street,Pasadena,CA,91103.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,Unknown,Utility Misc Structure,Other Minor Structure,,Asphalt,Unenclosed,No Vents,Stucco Brick Cement,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,,<30',136600.0,1946.0,"226 W MONTANA ST, PASADENA, CA 91103",34.1805222,-118.1555336
45859,Destroyed (>50%),5758.0,Shady,Lane,Paradise Central Southwest A,CA,,BTU,Butte,Paradise,11/8/2018 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Asphalt,Unknown,"Mesh Screen > 1/8""""",Ignition Resistant,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,11-20,,14108.0,1947.0,5758  SHADY LN   PARADISE CA 95969,39.7554368158331,-121.61855522715
50604,Destroyed (>50%),200.0,Copco,Road,Unincorporated,CA,,SKU,Siskiyou,Hornbrook ,7/5/2018 12:00:00 AM,Fire,Fire Department,Single Family Residence Single Story,Single Residence,,Asphalt,Unknown,"Mesh Screen > 1/8""""",Combustible,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,30-50',21128.0,, ,41.9001846717958,-122.561151741492
96180,No Damage,0.0,Richardson Springs,Road,,CA,0.0,BTU,Butte,Richardson Springs,7/24/2024 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,0.0,Metal,No Eaves,"Mesh Screen <= 1/8""""",Wood,Multi Pane,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,,,0.0,0.0,,39.8263006,-121.8168479
110000,Destroyed (>50%),2238.0,Glenrose,Avenue,Altadena,CA,91001.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Single Family Residence Single Story,Single Residence,,Asphalt,Unknown,Unknown,Stucco Brick Cement,Unknown,No Deck/Porch,No Deck/Porch,Unknown,Non Combustible,,,109642.0,1950.0,"2238 GLENROSE AVE, ALTADENA, CA 91001",34.184233,-118.1549762
36949,Destroyed (>50%),1566.0,Suffolk,Lane,Paradise Central Southeast B,CA,,BTU,Butte,Paradise,11/8/2018 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,89121.0,2000.0,1566  SUFFOLK LN   PARADISE CA 95969,39.7417507688796,-121.58611188525
7337,No Damage,42004.0,Auberry ,Road,,CA,0.0,FKU,Fresno,Auberry ,9/4/2020 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,14259.0,0.0,42004 AUBERRY RD AUBERRY CA 93602,37.0846109398883,-119.422541798972
130630,Destroyed (>50%),2410.0,Minard ,Road,Topanga,CA,90290.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,Unknown,Single Family Residence Multi Story,Single Residence,,Tile,Unenclosed,No Vents,Stucco Brick Cement,Single Pane,Wood,Unknown,Combustible,No Fence,21-30,>50',412077.0,1995.0,"2410 MINARD RD, TOPANGA, CA 90290",34.0694363,-118.6135396
