OBJECTID,Damage,Zip Code,CAL FIRE Unit,County,Incident Start Date,Structure Defense Actions Taken,Structure Type,Structure Category,Units in Structure,Roof Construction,Eaves,Vent Screen,Exterior Siding,Window Pane,Deck/Porch On Grade,Deck/Porch Elevated,Patio Cover/Carport Attached to Structure,Fence Attached to Structure,Distance - Propane Tank to Structure,Distance - Residence to Utility/Misc Structure > 120 SQFT,Assessed Improved Value,Year Built,Latitude,Longitude,AIV missing,Year Built missing
12972,No Damage,94574.0,LNU,Napa,2020-09-27,Unknown,Single Family Residence Single Story,Single Residence,1.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Single Pane,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,30-50,712324.5000000002,1890.0,38.5257284191399,-122.47963458726,0,0
22543,No Damage,95060.0,CZU,Santa Cruz,2020-08-16,Unknown,Single Family Residence Multi Story,Single Residence,1.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200012.0,1974.0,37.0961183497263,-122.139032959191,0,0
78665,No Damage,96076.0,TGU,Tehama,2021-07-29,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Metal,Unenclosed,No Vents,Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,12004.0,1966.0,40.3072317484163,-122.813344032347,0,1
47355,Destroyed (>50%),95969.0,BTU,Butte,2018-11-08,Unknown,Mobile Home Double Wide,Single Residence,2.0,Asphalt,Enclosed,"Mesh Screen > 1/8""""",Ignition Resistant,Single Pane,Masonry/Concrete,Wood,Non Combustible,No Fence,Unknown,<30,712324.5000000002,1900.0,39.7829417656839,-121.589596093606,0,0
75766,No Damage,95448.0,LNU,Sonoma,2019-10-23,Unknown,Single Family Residence Multi Story,Single Residence,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,712324.5000000002,1925.0,38.5416938340044,-122.774185189013,0,0
111004,Destroyed (>50%),91001.0,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Single Story,Single Residence,1.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco/Brick/Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,Non Combustible,Unknown,Unknown,228010.0,1979.0,34.195498,-118.1249173,0,0
107234,Destroyed (>50%),91107.0,LAC,Los Angeles,2025-01-07,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Asphalt,No Eaves,No Vents,Unknown,No Windows,No Deck/Porch,No Deck/Porch,Unknown,No Fence,Unknown,<30,89423.0,1937.0,34.1664715,-118.0975816,0,0
5994,No Damage,93634.0,FKU,Fresno,2020-09-04,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,1966.0,37.2344437132579,-119.162595005344,0,1
109893,No Damage,91001.0,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Multi Story,Single Residence,0.0,Asphalt,Enclosed,"Mesh Screen <= 1/8""""",Wood,Single Pane,Masonry/Concrete,Wood,No Patio Cover/Carport,No Fence,Unknown,Unknown,20235.0,1922.0,34.1823015,-118.152594,0,0
15903,No Damage,95688.0,LNU,Solano,2020-08-16,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,218989.0,1966.0,38.3719572662993,-122.026227148542,0,1
75908,No Damage,95448.0,LNU,Sonoma,2019-10-23,Unknown,Mobile Home Double Wide,Single Residence,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,No Deck/Porch,No Deck/Porch,Unknown,Unknown,Unknown,Unknown,24546.0,1953.0,38.6148498061748,-122.761467804214,0,0
1886,Destroyed (>50%),95966.0,BTU,Butte,2020-09-09,Unknown,Single Family Residence Single Story,Single Residence,0.0,Asphalt,Unknown,"Mesh Screen <= 1/8""""",Wood,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,160000.0,1987.0,39.5590612546201,-121.322023391038,0,0
15976,No Damage,94558.0,LNU,Napa,2020-08-16,Unknown,Single Family Residence Multi Story,Single Residence,1.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,457890.0,1984.0,38.5145108470206,-122.188296729272,0,0
20912,No Damage,95060.0,CZU,Santa Cruz,2020-08-16,Unknown,Single Family Residence Multi Story,Single Residence,1.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,212242.0,1978.0,37.0426424752846,-122.117749547067,0,0
46739,Destroyed (>50%),95969.0,BTU,Butte,2018-11-08,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Wood,Unknown,Unknown,Combustible,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,55000.0,1985.0,39.7533917664599,-121.616472249602,0,0
44688,Destroyed (>50%),95969.0,BTU,Butte,2018-11-08,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Metal,Unknown,Unknown,Ignition Resistant,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,85783.0,1985.0,39.7676453994911,-121.590755293123,0,0
95794,No Damage,Unknown,FKU,Fresno,2024-09-03,Combination of Actions,Utility Misc Structure,Other Minor Structure,0.0,Metal,Unenclosed,No Vents,Metal,No Windows,Composite,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,<30,12845.0,1966.0,36.2398715,-120.5936757,0,1
123750,No Damage,90272.0,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Single Story,Single Residence,1.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco/Brick/Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Combustible,Unknown,Unknown,101765.0,1956.0,34.0517273,-118.5353134,0,0
118688,Destroyed (>50%),91001.0,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Single Story,Single Residence,1.0,Unknown,Unknown,Unknown,Unknown,Unknown,Masonry/Concrete,Unknown,Unknown,Unknown,Unknown,Unknown,58648.0,1947.0,34.2064251,-118.1419222,0,0
40423,Destroyed (>50%),95969.0,BTU,Butte,2018-11-08,Unknown,Single Family Residence Single Story,Single Residence,1.0,Tile,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Combustible,Unknown,Unknown,233697.0,1985.0,39.7473805104181,-121.622183883706,0,0
88584,No Damage,93117.0,SBC,Santa Barbara,2021-10-11,Unknown,Single Family Residence Multi Story,Single Residence,1.0,Metal,Unenclosed,No Vents,Metal,Single Pane,Wood,Wood,No Patio Cover/Carport,No Fence,Unknown,Unknown,35404.0,1966.0,34.4676364533013,-120.106322383644,0,1
6148,No Damage,33144.0,MMU,Madera,2020-09-04,Unknown,Single Family Residence Multi Story,Single Residence,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,324583.0,1993.0,37.2278443141092,-119.469241803284,0,0
113466,Destroyed (>50%),91001.0,LAC,Los Angeles,2025-01-07,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Asphalt,No Eaves,No Vents,Stucco/Brick/Cement,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Combustible,Unknown,<30,126191.0,1948.0,34.193142,-118.1399198,0,0
23947,No Damage,16275.0,CZU,Santa Cruz,2020-08-16,Unknown,Mixed Commercial/Residential,Mixed Commercial/Residential,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,712324.5000000002,2014.0,37.1620306247761,-122.136587073048,0,0
75843,Destroyed (>50%),95403.0,LNU,Sonoma,2019-10-23,Unknown,Single Family Residence Multi Story,Single Residence,1.0,Asphalt,Unknown,"Mesh Screen > 1/8""""",Stucco/Brick/Cement,Multi Pane,Masonry/Concrete,Wood,No Patio Cover/Carport,No Fence,Unknown,Unknown,712324.5000000002,1989.0,38.5432541664275,-122.767053693043,0,0
106195,No Damage,91001.0,LAC,Los Angeles,2025-01-07,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Asphalt,Unenclosed,No Vents,Stucco/Brick/Cement,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,447180.0,1949.0,34.1898695,-118.1072895,0,0
99242,Destroyed (>50%),93010.0,VNC,Ventura,2024-11-06,Unknown,Single Family Residence Single Story,Single Residence,0.0,Concrete,Unknown,Unknown,Stucco/Brick/Cement,Unknown,No Deck/Porch,Wood,Unknown,Non Combustible,Unknown,30-50,510950.0,1988.0,34.2394138,-119.0665762,0,0
19697,Destroyed (>50%),94558.0,LNU,Napa,2020-08-16,Unknown,Motor Home,Single Residence,1.0,Metal,No Eaves,No Vents,Metal,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,10957.0,1910.0,38.4298122609477,-122.128700456843,0,0
46277,Destroyed (>50%),95969.0,BTU,Butte,2018-11-08,Unknown,Mobile Home Double Wide,Single Residence,2.0,Asphalt,Enclosed,Unscreened,Combustible,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,Unknown,Unknown,5000.0,1972.0,39.7503696554812,-121.586220682909,0,0
75195,Destroyed (>50%),95441.0,LNU,Sonoma,2019-10-23,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,273795.0,1953.0,38.7002302898726,-122.837674897326,0,0
50165,Destroyed (>50%),26575.0,LAC,Los Angeles,2018-11-08,Unknown,Single Family Residence Multi Story,Single Residence,1.0,Tile,Unknown,Unknown,Ignition Resistant,Unknown,Masonry/Concrete,Unknown,No Patio Cover/Carport,No Fence,21-30,Unknown,316000.0,1990.0,34.0485470463384,-118.772245030777,0,0
76522,Destroyed (>50%),94515.0,LNU,Sonoma,2019-10-23,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Metal,Unenclosed,No Vents,Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,44593.0,1966.0,38.6566089802767,-122.748596921588,0,1
20485,Destroyed (>50%),Unknown,BEU,Monterey,2020-08-16,Unknown,Single Family Residence Multi Story,Single Residence,1.0,Asphalt,Unknown,Unknown,Wood,Multi Pane,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,154142.0,2002.0,36.4255797868592,-121.681454996545,0,0
108496,Destroyed (>50%),91001.0,LAC,Los Angeles,2025-01-07,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Asphalt,Unknown,No Vents,Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,110175.0,1925.0,34.1924027,-118.1526397,0,0
22849,No Damage,11555.0,CZU,Santa Cruz,2020-08-16,Unknown,Single Family Residence Single Story,Single Residence,1.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,189451.0,1922.0,37.1055016429644,-122.111460299829,0,0
87175,No Damage,95947.0,LMU,Plumas,2021-07-13,Unknown,Single Family Residence Single Story,Single Residence,0.0,Metal,Enclosed,Unscreened,Vinyl,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Combustible,Unknown,Unknown,124950.0,1966.0,40.1347473600047,-120.921950495603,0,1
52805,Destroyed (>50%),Unknown,LNU,Yolo,2018-07-01,Unknown,Single Family Residence Single Story,Single Residence,1.0,Wood,Unknown,Unknown,Combustible,Single Pane,No Deck/Porch,Unknown,Unknown,No Fence,Unknown,Unknown,56606.0,1966.0,38.6188607170162,-122.064090566439,0,1
36861,Destroyed (>50%),95969.0,BTU,Butte,2018-11-08,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,105000.0,1992.0,39.7465262717855,-121.585357260885,0,0
